date,Total_market_cap,BTC_market_cap,ETH_market_cap,Alt_market_cap,BTC_dominance,ETH_dominance,Alt_dominance
2013-04-28,NA,1500517590,NA,NA,NA,NA,NA
2013-04-29,1661441770,1575032004,NA,NA,94.79910957096017,NA,NA
2013-04-30,1592765051,1501657493,NA,NA,94.27991228569466,NA,NA
2013-05-01,1378705103,1298951550,NA,NA,94.21532909202557,NA,NA
2013-05-02,1220763415,1148667722,NA,NA,94.09421251373264,NA,NA
2013-05-03,1075224202,1011066494,NA,NA,94.03308557595135,NA,NA
2013-05-04,1316363524,1236351844,NA,NA,93.92176412205113,NA,NA
2013-05-05,1382120536,1298377788,NA,NA,93.94099531706836,NA,NA
2013-05-06,1393824485,1315992304,NA,NA,94.4159266939553,NA,NA
2013-05-07,1254637674,1183766500,NA,NA,94.3512636780585,NA,NA
2013-05-08,1330986953,1253655040,NA,NA,94.18988196498121,NA,NA
2013-05-09,1334911702,1258130700,NA,NA,94.24823365583171,NA,NA
2013-05-10,1395116543,1322989457,NA,NA,94.83003148648062,NA,NA
2013-05-11,1332012007,1259239352,NA,NA,94.53663671066292,NA,NA
2013-05-12,1350327204,1278708679,NA,NA,94.69620957143955,NA,NA
2013-05-13,1377789386,1306721052,NA,NA,94.84185792675281,NA,NA
2013-05-14,1345650748,1277278988,NA,NA,94.91905606996326,NA,NA
2013-05-15,1338823587,1273849681,NA,NA,95.14694044600814,NA,NA
2013-05-16,1353313527,1289277412,NA,NA,95.26819811356249,NA,NA
2013-05-17,1443958629,1374605382,NA,NA,95.19700595244686,NA,NA
2013-05-18,1455779820,1383755085,NA,NA,95.05249804877774,NA,NA
2013-05-19,1417905572,1346499262,NA,NA,94.96395871417029,NA,NA
2013-05-20,1441122694,1370131821,NA,NA,95.07391887619528,NA,NA
2013-05-21,1443607754,1374154118,NA,NA,95.1888845285324,NA,NA
2013-05-22,1445715359,1375791900,NA,NA,95.16340069539235,NA,NA
2013-05-23,1478020525,1407041528,NA,NA,95.19769882762623,NA,NA
2013-05-24,1545112414,1474180657,NA,NA,95.4092817870532,NA,NA
2013-05-25,1533661573,1464316690,NA,NA,95.47847555022493,NA,NA
2013-05-26,1580501022,1507769010,NA,NA,95.39816735404806,NA,NA
2013-05-27,1515097522,1445444606,NA,NA,95.40274371856573,NA,NA
2013-05-28,1517015783,1448115967,NA,NA,95.45820045037725,NA,NA
2013-05-29,1494663310,1481781795,NA,NA,99.13816610645243,NA,NA
2013-05-30,1496904749,1429308634,NA,NA,95.48427412999008,NA,NA
2013-05-31,1501246629,1436386730,NA,NA,95.67959735948223,NA,NA
2013-06-01,1513483050,1449499974,NA,NA,95.77246167375314,NA,NA
2013-06-02,1425253662,1362684200,NA,NA,95.60994202869131,NA,NA
2013-06-03,1421300914,1361765704,NA,NA,95.81121707489453,NA,NA
2013-06-04,1428937992,NA,NA,NA,NA,NA,NA
2013-06-05,1431055975,1364113640,NA,NA,95.3221721463411,NA,NA
2013-06-06,1399369412,1369233814,NA,NA,97.84648730052419,NA,NA
2013-06-07,1295759699,1339234925,NA,NA,103.35519201851639,NA,NA
2013-06-08,1276440352,1239395972,NA,NA,97.09783696966672,NA,NA
2013-06-09,1175742721,1220874393,NA,NA,103.83856699207242,NA,NA
2013-06-10,1249480387,1123844958,NA,NA,89.94498590716975,NA,NA
2013-06-11,1281020351,1194605341,NA,NA,93.25420474916405,NA,NA
2013-06-12,1274880850,1227904672,NA,NA,96.31524953880984,NA,NA
2013-06-13,1209926438,1222819750,NA,NA,101.06562776009031,NA,NA
2013-06-14,1157471483,1159766150,NA,NA,100.19824825351658,NA,NA
2013-06-15,1175106991,1110902570,NA,NA,94.53629146182145,NA,NA
2013-06-16,1181799762,1129287060,NA,NA,95.55654826743822,NA,NA
2013-06-17,1203069155,1134610433,NA,NA,94.30966027883908,NA,NA
2013-06-18,1255047714,1152834600,NA,NA,91.85583839882601,NA,NA
2013-06-19,1272106014,1204638318,NA,NA,94.69637787594014,NA,NA
2013-06-20,1307192102,1220273470,NA,NA,93.35073767145512,NA,NA
2013-06-21,1295399444,1254733148,NA,NA,96.86071379848454,NA,NA
2013-06-22,1280858025,1233750009,NA,NA,96.32215162956878,NA,NA
2013-06-23,1288678379,1214260369,NA,NA,94.22524570810697,NA,NA
2013-06-24,1223713187,1223181000,NA,NA,99.95651047928112,NA,NA
2013-06-25,1236186084,1160635652,NA,NA,93.88842561990853,NA,NA
2013-06-26,1235489718,1175194910,NA,NA,95.11976448516263,NA,NA
2013-06-27,1194934899,1172207388,NA,NA,98.09801261817528,NA,NA
2013-06-28,1121179078,1130338737,NA,NA,100.81696663626111,NA,NA
2013-06-29,1144211142,1058953327,NA,NA,92.54876902780589,NA,NA
2013-06-30,1173606025,1082693996,NA,NA,92.25361602928035,NA,NA
2013-07-01,1081520862,1107084792,NA,NA,102.36370197729944,NA,NA
