date,snapped_at,market_cap,total_volume
2013-04-29,1367193600000,1661441770,0
2013-04-30,1367280000000,1592765051,0
2013-05-01,1367366400000,1378705103,0
2013-05-02,1367452800000,1220763415,0
2013-05-03,1367539200000,1075224202,0
2013-05-04,1367625600000,1316363524,0
2013-05-05,1367712000000,1382120536,0
2013-05-06,1367798400000,1393824485,0
2013-05-07,1367884800000,1254637674,0
2013-05-08,1367971200000,1330986953,0
2013-05-09,1368057600000,1334911702,0
2013-05-10,1368144000000,1395116543,0
2013-05-11,1368230400000,1332012007,0
2013-05-12,1368316800000,1350327204,0
2013-05-13,1368403200000,1377789386,0
2013-05-14,1368489600000,1345650748,0
2013-05-15,1368576000000,1338823587,0
2013-05-16,1368662400000,1353313527,0
2013-05-17,1368748800000,1443958629,0
2013-05-18,1368835200000,1455779820,0
2013-05-19,1368921600000,1417905572,0
2013-05-20,1369008000000,1441122694,0
2013-05-21,1369094400000,1443607754,0
2013-05-22,1369180800000,1445715359,0
2013-05-23,1369267200000,1478020525,0
2013-05-24,1369353600000,1545112414,0
2013-05-25,1369440000000,1533661573,0
2013-05-26,1369526400000,1580501022,0
2013-05-27,1369612800000,1515097522,0
2013-05-28,1369699200000,1517015783,0
2013-05-29,1369785600000,1494663310,0
2013-05-30,1369872000000,1496904749,0
2013-05-31,1369958400000,1501246629,0
2013-06-01,1370044800000,1513483050,0
2013-06-02,1370131200000,1425253662,0
2013-06-03,1370217600000,1421300914,0
2013-06-04,1370390400000,1428937992,0
2013-06-05,1370476800000,1431055975,0
2013-06-06,1370563200000,1399369412,0
2013-06-07,1370649600000,1295759699,0
2013-06-08,1370736000000,1276440352,0
2013-06-09,1370822400000,1175742721,0
2013-06-10,1370908800000,1249480387,0
2013-06-11,1370995200000,1281020351,0
2013-06-12,1371081600000,1274880850,0
2013-06-13,1371168000000,1209926438,0
2013-06-14,1371254400000,1157471483,0
2013-06-15,1371340800000,1175106991,0
2013-06-16,1371427200000,1181799762,0
2013-06-17,1371513600000,1203069155,0
2013-06-18,1371600000000,1255047714,0
2013-06-19,1371686400000,1272106014,0
2013-06-20,1371772800000,1307192102,0
2013-06-21,1371859200000,1295399444,0
2013-06-22,1371945600000,1280858025,0
2013-06-23,1372032000000,1288678379,0
2013-06-24,1372118400000,1223713187,0
2013-06-25,1372204800000,1236186084,0
2013-06-26,1372291200000,1235489718,0
2013-06-27,1372377600000,1194934899,0
2013-06-28,1372464000000,1121179078,0
2013-06-29,1372550400000,1144211142,0
2013-06-30,1372636800000,1173606025,0
2013-07-01,1372723200000,1081520862,0
2013-07-02,1372809600000,1094150829,0
2013-07-03,1372896000000,950276548,0
2013-07-04,1372982400000,952140445,0
2013-07-05,1373068800000,826561927,0
2013-07-06,1373155200000,829092669,0
2013-07-07,1373241600000,942313402,0
2013-07-08,1373328000000,928926091,0
2013-07-09,1373414400000,935842308,0
2013-07-10,1373500800000,1040602951,0
2013-07-11,1373587200000,1134446242,0
2013-07-12,1373673600000,1066507120,0
2013-07-13,1373760000000,1155324187,0
